band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15549,406,"4,6",155490406,50.59456354485101,41.28244229137139,50.72477820696418,41.184372162121875,50.72516686374557,41.38036314465409,50.46396013358179,41.3803630743371,50.464348975479986,41.184372092285265,0.7115068,0.016711123,-14.422567,27.0,0.5346633718449886
HSC-G,15549,407,"4,7",155490407,50.59456345644799,41.46909640931477,50.72514830366533,41.37103045456061,50.72553917671247,41.567011034933365,50.46358764328264,41.56701096415777,50.46397870250218,41.37103038426653,0.70377225,0.01650851,-10.258192,27.0,0.48419891927637226
HSC-G,15549,408,"4,8",155490408,50.594563368654626,41.65340570288029,50.72552051064488,41.55767893920126,50.72590423181526,41.748979312971734,50.46322241430452,41.748979241748,50.46360631824084,41.55767886844864,0.7033624,0.010296668,-19.11014,27.0,0.5020443891533957
HSC-G,15549,503,"5,3",155490503,50.34826515244793,40.72218642265363,50.477744082936916,40.62439103398222,50.4773981817374,40.82038835288783,50.21840546540182,40.819836713145726,50.2195157460503,40.62384320981736,0.7175902,0.059616756,-79.61207,27.0,0.844430601674631
HSC-G,15549,504,"5,4",155490504,50.34756976590584,40.9088506963465,50.47741469965355,40.81105506388282,50.47706684272307,41.00705446162343,50.2173419269884,41.00649917892894,50.21845848493655,40.81050360605657,0.7007391,0.022242028,-55.6314,27.0,0.6727477996461189
HSC-G,15549,505,"5,5",155490505,50.34687044212936,41.09551496534348,50.47708345416378,40.99772117269059,50.47673362486876,41.19371848856511,50.21627235807456,41.193159554128954,50.21739524670838,40.99716607235294,0.7024251,0.031423092,-23.270664,27.0,0.5116670806245408
HSC-G,15549,506,"5,6",155490506,50.34616714758517,41.2821752671542,50.47675033063059,41.184385397831086,50.47639851214824,41.3803764714034,50.21519670722381,41.37981387649312,50.21632598053634,41.18382664618984,0.6990517,0.035291202,-25.890646,27.0,0.37510754447874306
HSC-G,15549,507,"5,7",155490507,50.3454598483581,41.46882763979263,50.47641531303682,41.37104377696954,50.476061488352514,41.56702444859827,50.21411492241296,41.56645818453752,50.21525063501306,41.370481365289486,0.68450135,0.032602236,-12.838638,27.0,0.29881921119351285
HSC-G,15549,508,"5,8",155490508,50.3447574269429,41.65313520582644,50.47607838518267,41.55769234851554,50.47573103449253,41.748992811575974,50.21305422613335,41.748422961792386,50.21416915814492,41.55712626811751,0.7039827,0.01781805,4.03618,27.0,0.32695062635449196
HSC-G,15549,603,"6,3",155490603,50.101975601336456,40.72140114484772,50.23181207106845,40.623882337728176,50.23073818710373,40.81987611357902,49.971759871279644,40.81877296884108,49.97359800756972,40.62278682303244,0.7083476,0.053998973,-82.602585,27.0,0.7984853584961521
HSC-G,15549,604,"6,4",155490604,50.10058499247981,40.90806022134142,50.23078946857811,40.81054299349679,50.22970951307625,41.00653883955522,49.969999120330456,41.00542840997713,49.971847648284935,40.809440212537474,0.6990466,0.018773416,-50.53863,27.0,0.6140934197556536
HSC-G,15549,605,"6,5",155490605,50.09918651052439,41.09471928054158,50.22976108489613,40.99720571995464,50.22867500622086,41.19319947557592,49.968228386285745,41.19208174358425,49.97008739427282,40.996095655036875,0.68909127,0.024556007,-38.222214,27.0,0.43165720448752504
HSC-G,15549,606,"6,6",155490606,50.09778008842029,41.281374360039834,50.228726870859035,41.18386655458094,50.22763461678685,41.379854059384485,49.96644758400438,41.37872900751967,49.96831716139695,41.18274918812556,0.68927675,0.028894277,-34.623333,27.0,0.2554062256821398
HSC-G,15549,607,"6,7",155490607,50.09636565835415,41.46802149793081,50.22768677674426,41.37052153509387,50.226588294456185,41.56649862949292,49.9646566273744,41.56536624040742,49.96653686456445,41.36939684963564,0.68548006,0.021114113,-20.325321,27.0,0.11755779720045058
HSC-G,15549,608,"6,8",155490608,50.09496098320118,41.6523238825264,50.22664075226234,41.55716669995504,50.225562369327584,41.74846366285307,49.96290058477324,41.747324103380265,49.964746417712185,41.55603467814091,0.69594127,0.010776217,-14.22301,27.0,0.1772631246713463
HSC-G,15549,703,"7,3",155490703,49.85570425409743,40.72009249605706,49.985893426409135,40.62285202887215,49.98409167873244,40.81883862881939,49.725137359402744,40.817184110651965,49.72770314759142,40.62120895394147,0.7002054,0.062745914,-89.44628,27.0,0.7948419536848825
